Index,Top Level Table,Metadata Component,Description,Occurs,Values,Comment,Example,XML,REVIEWER ASSESMENT,REVIEWER NOTES (OPTIONAL)
1,Top Level Table,Metadata Component,Description,Occurs,Values,Comment,Example,XML,Required,ADD REVIEWER NOTES HERE
1.01,Resource Table,resourceID,Unique identifier associated with the related Resource being described.,1,URI,"A Resource record can be marked by a unique identifier to support cross-referencing by other Resources and for the benefit of organizing data by one or more repositories. This should not be confused with version number, or document number.",4,"<ms:resourceID=""4"">",Optional,
1.02,Resource Table,taxonomy,"Specifies a taxonomy identifier pertaining to a domain vocabulary source, which is applicable in describing a Resource component.",0..1,text,"Any component within an MSC-DMS based metacard, which describes or reflects unique semantic information, can be marked by a specific taxonomy identifier to increase semantic interoperability. The value of the taxonomy attribute should match with an identifier value associated within a Related Taxonomy (see Section 4.22).",missile_defense,"<ms:taxonomy=""missile_defense"">",Not Needed,
1.03,Resource Table,MetacardInfo.metacardID,"Unique identifier associated with the metacard of the Resource being described, which is captured in an XML document conforming to this specification.",1,URI,"It may be possible for the Resource_ID and metacard_ID to have corresponding IDs. For those creating Resources and/or generating metacards, please check with the practices of your organization or the repository/catalog for which you are posting your Resource and Resource metacard.",23433,"<ms:metacardID=""23433"">",,
1.04,Resource Table,Title.Value,Title information assigned to the Resource.,1..many,-- see Title Metadata Set,Section 4.3,BallisticModelAlgorithm,<ms:Title><ms:Value>BallisticModelAlgorithm</ms:Value>,,
1.05,Resource Table,Title.Subtitle,Subtitle information assigned to the Resource.,1..many,-- see Title Metadata Set,Section 4.3,ShortRangeTrajectory,<ms:Subtitle>ShortRangeTrajectory</ms:Subtitle>,,
1.06,Resource Table,Title.Acronym,,,,,BMA-SRT,,,
1.07,Resource Table,Title.DocumentNumber,,,,,ALGO_1523.13,,,
1.08,Resource Table,Version.Value,This field specifies the version identification assigned to the Resource.,1,-- see Version Metadata Set,Section 4.4,1,<ms:Version><ms:Value>1.0</ms:Value></ms:Version>,,
1.09,Resource Table,Description,This field provides an account of the content of the Resource.,1,-- see Description Metadata Set,Section 4.5,algorithm used for high fidelity short range attack models,<ms:Description>algorithm used for high fidelity short range attack models</ms:Description>,,
1.1,Resource Table,Usages.Usage,Identifies information for each usage.,1..many,-- see Usage Metadata Set,Section 4.6,,<ms:Usages><ms:Usage>...example content...</ms:Usage></ms:Usages>,,
1.11,Resource Table,Usages.Usage.Experience,Identifies information for each experience associated with the usage.,0..1,-- see Experience Metadata Set,Section 4.7,,<ms:Usage><ms:Experience>...example content...</ms:Experience></ms:Usage>,,
1.12,Resource Table,Dates.Date,Identifies information for each date associated with the Resource.,1..many,-- see Date Metadata Set,Section 4.8,,<ms:Dates><ms:Date>...example date...</ms:Date></ms:Dates>,,
1.13,Resource Table,Rights,Information about rights held in and over the Resource.,0..1,-- see Rights Metadata Set,Section 4.9,,<ms:Rights>...example content...</ms:Rights>,,
1.14,Resource Table,Source,Specifies information about the source media pertaining to the M&S Resource.,0..1,-- see Source Metadata Set,Section 4.10,,<ms:Source>...example content...</ms:Source>,,
1.15,Resource Table,Type.Qualifier,"Specifies the type that the Resource represents. Also described as the nature, genre, or discipline of the content of the Resource.",1..many,-- see Type Metadata Set,Section 4.11,DCMITYPE,<ms:Type><ms:Qualifier>DCMITYPE</ms:Qualifier></ms:Type>,,
1.16,Resource Table,Type.Value,Specifies the value for the type of Resource.,1..many,-- see Type Metadata Set,Section 4.11,Software,<ms:Type><ms:Value>Software</ms:Value></ms:Type>,,
1.17,Resource Table,Type.Subtype,Specifies the subtype for the type of Resource.,1..many,-- see Type Metadata Set,Section 4.11,Java,<ms:Type><ms:Subtype>Java</ms:Subtype></ms:Type>,,
1.18,Resource Table,Type.ADS-Designation,Specifies the ADS-Designation for the Resource.,0..1,-- see Type Metadata Set,Section 4.11,--,<ms:Type><ms:ADS-Designation>--</ms:ADS-Designation></ms:Type>,,
1.19,Resource Table,POCs.POC,Specifies an organization or a person that has a significant level or responsibility or ownership pertaining to M&S Resource.,1..many,-- see POC Metadata Set,Section 4.12,--,<ms:POCs><ms:POC>...example content...</ms:POC></ms:POCs>,,
1.2,Resource Table,Keywords.Keyword,Specifies keywords attributed to the M&S Resource.,1,-- see Keyword Metadata Set,Section 4.13,--,<ms:Keywords><ms:Keyword>...example content...</ms:Keyword></ms:Keywords>,,
1.21,Resource Table,Image,Specifies an image that can be used to visually represent a Resource.,0..many,-- see Image Metadata Set,Section 4.14,--,<ms:Image>...example content...</ms:Image>,,
1.22,Resource Table,Extensions.Virtual Coverage,Specifies virtual coverage extension that can be added to core metadata.,0..many,-- see Virtual Coverage Metadata Set,Section 4.15,--,<ms:Extensions><ms:VirtualCoverage>...example content...</ms:VirtualCoverage></ms:Extensions>,,
